time,submitted,remote,running,completed
1159.35387588,125,464,36,0
1164.52662301,125,464,36,0
1169.69785595,125,464,36,0
1174.86587381,125,464,36,0
1179.99270082,125,464,36,0
1185.16308188,125,464,36,0
1190.35487795,125,464,36,0
1195.53063679,125,464,36,0
1200.66286778,125,464,36,0
1205.85873699,125,464,36,0
1211.02862287,125,464,36,0
1216.20162582,125,464,36,0
1221.32888079,125,464,36,0
1226.50362587,125,464,36,0
1231.78485179,125,464,36,0
1236.9338479,125,464,36,0
1243.29087281,125,464,36,0
1248.45585084,125,464,36,0
1253.64261794,125,464,36,0
1258.76687598,125,464,36,0
1263.9426229,125,464,36,0
1269.1228478,125,464,36,0
1274.29385185,125,464,36,0
1280.01385188,125,464,36,0
1285.18386889,125,464,36,0
1290.35162497,125,464,36,0
1295.46386695,125,464,36,0
1300.58487082,125,464,36,0
1305.74187493,125,463,32,5
1310.987813,125,463,32,5
1317.56563902,125,463,32,5
1322.70688581,125,461,32,7
1327.89387488,125,461,32,7
1333.13287592,125,461,32,7
1338.30587482,125,443,27,25
1343.43187094,125,402,24,44
1348.55573583,125,402,24,0
1353.7798748,87,440,24,0
1358.88950896,51,476,24,0
1364.02785993,51,476,24,0
1369.16113091,51,476,24,0
1374.24162292,51,476,24,0
1379.38538384,51,476,24,0
1384.52871394,51,476,24,0
1391.83486986,51,476,24,0
1396.94786882,51,476,24,0
1402.55187798,51,476,24,0
1407.69388199,51,476,24,0
1412.84387183,51,476,23,1
1417.96791482,51,476,23,0
1423.05562782,50,476,23,1
1428.1778729,50,469,29,1
1433.3028729,50,469,29,1
1438.46385098,49,470,29,0
1443.617625,49,468,29,2
1448.700876,48,454,20,24
1453.87165189,22,461,35,0
1458.98186779,18,465,35,0
1464.13889694,18,465,35,0
1469.31287599,18,465,35,0
1474.39987397,18,465,35,0
1479.53088498,18,465,35,0
1484.66388202,18,465,35,0
1489.80987501,18,465,35,0
1494.94387484,18,465,35,0
1500.07987595,18,465,35,0
1505.22787595,18,464,36,0
1510.36388993,18,461,39,0
1515.53491998,18,461,39,0
1520.67187786,18,461,39,0
1525.78087783,18,461,37,2
1530.85464692,18,461,31,6
1535.97388482,16,463,31,0
1541.08386683,10,469,29,2
1546.23971486,10,468,25,5
1551.3718679,10,468,25,5
1556.53862381,8,464,18,13
1561.64587593,8,439,35,8
1566.76287484,3,433,46,0
1571.88487291,0,430,52,0
1577.00787687,0,429,53,0
1582.13487291,0,429,53,0
1587.2568779,0,429,53,0
1592.34162879,0,429,53,0
1597.44987392,0,429,53,0
1602.54094386,0,429,53,0
1607.84087682,0,423,57,2
1612.96888185,0,401,77,2
1618.17861795,0,401,77,0
1623.28687692,0,401,77,0
1628.40787792,0,401,77,0
1633.52870798,0,401,77,0
1641.328866,0,401,77,0
1646.48144889,0,401,77,0
1651.55760288,0,401,77,0
1656.73662496,0,401,71,6
1661.83263183,0,386,46,40
1666.97362399,0,386,44,39
1672.17662501,0,386,43,1
1677.25060201,0,386,43,0
1682.3489089,0,386,43,0
1687.42059994,0,386,43,0
1692.48960185,0,386,43,0
1697.56387091,0,386,43,0
1702.64162493,0,383,43,3
1709.1318779,0,383,43,3
1714.23387384,0,359,42,0
1719.33187389,0,356,45,0
1724.41688681,0,350,51,0
1729.53487587,0,350,51,0
1734.66187692,0,350,51,0
1739.77097392,0,350,51,0
1745.60287499,0,350,51,0
1750.72789192,0,350,51,0
1755.84687495,0,350,46,5
1760.96787286,0,349,37,10
1766.04962397,0,349,37,0
1771.1536088,0,349,37,0
1776.35695195,0,349,37,0
1781.47907686,0,349,37,0
1786.77559996,0,349,37,0
1791.88959885,0,349,37,0
1797.027632,0,349,34,3
1802.09487796,0,345,22,16
1807.18862486,0,339,18,10
1812.28460097,0,338,12,7
1817.37560391,0,338,12,0
1822.45660186,0,338,12,0
1827.53160381,0,338,12,0
1832.62787199,0,338,12,0
1837.70087695,0,338,12,0
1842.7716248,0,335,14,1
1847.85991979,0,333,16,0
1853.20285082,0,333,16,0
1858.29262686,0,333,16,0
1863.43487382,0,332,17,0
1868.53090191,0,330,19,0
1873.63862586,0,330,19,0
1878.72087383,0,330,19,0
1883.79467797,0,326,23,0
1888.87787795,0,314,35,0
1893.95587802,0,314,35,0
1899.02587485,0,314,35,0
1904.14262486,0,314,35,0
1909.24660397,0,314,35,0
1914.32962799,0,307,42,0
1919.39287686,0,307,37,5
1924.46139789,0,307,37,0
1929.51767492,0,307,37,0
1934.58487582,0,307,37,0
1939.65236783,0,306,35,3
1944.71423793,0,306,35,0
1949.7778759,0,306,35,0
1954.88467383,0,299,40,2
1959.96087289,0,280,50,9
1965.03187299,0,280,50,0
1970.10240483,0,280,50,0
1975.77790093,0,280,50,0
1980.89862299,0,280,47,3
1985.97891784,0,280,47,0
1991.03891182,0,280,47,0
1996.09891391,0,280,47,0
2001.15789294,0,280,47,0
2006.21787882,0,279,48,0
2011.28287983,0,279,47,1
2016.34887791,0,279,47,0
2021.42087793,0,274,47,5
2026.49787092,0,266,30,25
2031.56262183,0,266,30,0
2036.62060094,0,266,30,0
2041.67770886,0,265,31,0
2046.7388649,0,265,31,0
